line number,directive?,text,
1,0, and you consistently make something very s- and you say this y- this is not the exact Color varies. Yeah. This is not the exact same item that you will be Mhm. but it will be slightly different. Mhm.,
2,0, be Mhm. but it will be slightly different. Mhm. [noise] Yeah.,
3,1, Mm. Mhm. [laughs] [laughs] [laughs] You just like Leave him his joust for me and he will lose his shit. [laughs] Yeah [laughs] It will just That's pretty good. Trust me.,
4,0, lose his shit. [laughs] Yeah [laughs] It will just That's pretty good. Trust me. [laughs] Or you can just be like s-  He has a sense of humor Yeah.,
5,1, Actually Since you are being so helpful. Since you've been volunteered Yeah. I will Thank you. Girls do love ordering men around I just love ordering everybody around [laughs] I can make more Gender. Yeah That's true.,
6,0, All this stuff you'd actually have to think about as a designer Yeah. Yeah. It it'll also y- that you can pick a company that will have all the factors that you'd want them to think about. Yeah. And so Yes Yeah Hmm.,
7,0, There's your sweets. Oh [laughs] [laughs] uh-huh [laughs] I want more. My body will not appreciate more. Oh. It'll be at sugar overload.,
8,1, I'll try to spell something over there. [noise] No [noise] So just build off meanie [laughs] No I'm I'm being a [inaudible 1:48:53.40] [laughs] Um [noise] Will we will we accept kitten spelled like this? [laughs] That's not quite. Sudden Kitten Yeah.,
9,0, This is acceptable. Terrible [laughs] [laughs] You're terrible. We will It's like toddler phonetics pronunciation. Yeah. Yes.,
10,1, Mhm. Well Yes. Where b- it's like that that that will always be It it couldn't be like ballooner. Turn it into Balloonay. No So then baloney and it cuz you can make it into balloon.,
11,1, eleven-ish? Ooh So it's ready to go. I'm gonna take my rings off Tasty I'm so hungry Oh that's a good idea Oh yeah I'll take mine off I keep having these nightmares that my engagement ring will like get lost Oh yeah [laughs] Soon you'll have one Get lost? I keep guilting Shan Mhm Oh really? You think someone you think someone's it's bent eh What did I do?,
