line number,directive?,text
1,0, I mean I live in that area [noise] Really. What's v t c? But that's because of lights [noise] Yeah Yeah [noise] I'm not sure if Ben will come because he lost to Kits [noise] [noise] What? He was going to Kits? Kitsilano Tennis Club.
2,1, [noise] You don't make friends with salad. You don't make friends with salad. [noise] Jen J- Jen will eat salad. Just just salad. [noise] [noise] [noise] You should see my sister is like What time Salad?
3,0, [noise] Yep [noise] Oh but that but that's different. I think that's different. That's um that will actually like [noise] if he h- h- he's probably working out Yeah. Yeah He's doing it definitely for like training or whatever Yeah. Yeah [noise] Mhm.
4,1, Oh Oh shit [noise] [noise] [noise] [noise] No Okay. [noise] Right? This is It's only in sh-  c- certain social settings I will drink a little bit. [noise] Yeah. [laughs] [noise] [laughs] [noise] Well [noise] It's like Friday night you're sitting at i- in your house by yourself drinking.
5,1, Yeah [noise] Like he visits The portions are huge. [noise] Mhm. And he will eat so w- like you know of o- a lot of restaurants will say like [noise] Oh if you eat a certain thing Yeah. [noise] Mhm. [noise] Mhm.
6,0, Right? She does Central Park. And then uh another person will do somewhere else. Straight up signs up for an all girls barbecue. [laughs] [inaudible 1:28:53.
7,0, [laughs] [inaudible 1:28:53.75] [laughs] And it's different locations uh-huh. And then people will just sign up if they wanna go to that place Oh Yeah. And the league is just within that uh It might have been a mistake but the organizer of the whole thing Yeah. It's probably a mistake.
8,0, Mhm. right? He makes a league and then people will join [noise] Mhm. [noise] right? So in this case it's a two point five woman's league and a three point five.
9,0, Yeah. I I'm just getting ice cream Yeah. You will not be able to resist. Unless you can c- unless you can cru-  unless you can cut the crust [laughs] off the pie only.  [laughs] Really?
10,0, I still go there for a coffee It's rubbed through it. Mm. this will get rid of it. [inaudible 1:40:59.92] Meat meatetarian.
11,1, Yeah. Yeah they'll give you free sides. Well th- y- y- you ask for the sides too Can you keen-  [noise] spli- split the sides too the sides will be like a fair portion they don't don't have to show it show it to the guests around you Oh Yeah. Yeah. Yeah Yeah.
12,0, What's wrong? Am I doing it wrong? No [laughs] Do you think this will work? No Mhm. Do you wanna cut these ones too or no?
13,0, Not looking bad. I thought I had some barbecue sauce. The cheese on top will be good too. It'll melt it. Teriyaki Maybe I used it all.
14,0, Babe Yes. P- uh Thomas? Uh let's add some cheese [noise] That would be great Some cheese We kinda Lid will help it. A lid? Um In the Un- oh Like We can Like Oh Yeah This thing's so flimsy.
15,0, I really hope that October's a decent though. So you I was just gonna say Oh Yeah. And for our engagement photos and It will be. Mhm. We did our engagement photos in November?
16,1, Yes. Us too. We will be there. Yep You guys serving at the morning one? Yep.
17,1, Captain Thomas Are you gonna be in front of the Telus building? Or which one are you in? Uh I will be there s-  Oh Yeah Both I told you this morning. Oh Yeah. Mhm.
18,1, Okay. [noise] Interesting. So technically the sheriffs will be the last one standing too Yeah Doesn't matter. The sher- I guess the renegade's like the sheriff Yeah. [noise] Whose turn is it?
19,0, I have to I must constantly be clean [noise] or else I get really itchy for some reason. No Take showers The the Yeah As a human you like you should shower once every three days. Or no Something to do with the oils in your skin Mhm But Well your clothes will give you the best shower that you ever had which is what you wash out you take it off all the crap that's on the inside of your shirt. Change your outfit once a day. But I dunno you can go three days without stinkin'.
20,0, And like Oh I've seen that Yeah that's what I actually really like um I think that they could probably make something very similar to uh To that for like um wrapping up chips and stuff. [noise] I feel like it would be helpful. Pretty soon beeswa- beeswax will be a rare commodity. Why? Cuz we're killin' 'em.
21,0, Nope. Why are they so dim? Uh it will Are they halogen? Oh so it'll take some time to heat up? It's just yeah I'm curious to see what this incense is gonna do to the tree.
22,1, Yeah. I think we need to muddle this a bit to get the onion flavor out. No I will Well So no one realized that we look. Did you guys notice that me and Ryan look identical now? But it's spicy though.
23,0, Four more minutes. [noise] So good. He sa- uh he says How many people do you think will suffer because of that travel ban? I say no one important. The knife digs deeper into your throat.
24,1, I can't remember the time the la- the last time the internet was so united. [laughs] [noise] [laughs] [laughs] [noise] What's the worst thing Uh they said We'll be back in ten minutes. I will text you once more before we come in so you have a chance to finish conversations. [redacted] [laughs] [noise] This list is savage What did you search up? Just distasteful jokes.
25,0, The only flavor in that thing was pepper. I undersalted it. I will admit that. I think you like pepper too much. I do.
26,1, Those. Oh Oh. Oh Yeah Hmm I swear this will be me. Here actually. Mat Go away.
27,1, [inaudible 0:46:25.56] We have to salt the water? Cuz I will salt the water. Ah! Where's the salt?
28,0, Versus the Is it beeping cuz I'm by the door? Hmm? No The beamer one Beamer ones will always be the best at that. Yeah. I dunno.
29,1, You have to take one more thing Oh He is now the longest road. Congratulations. And I will roll. Sorry Ten. Oh my god!
30,0, [laughs] Anybody have brick? No. You will find someone. [laughs] I have brick. I have brick.
31,0, But But But you'll be at an advantage and I'll be at a disadvantage. Yeah that. I will be in advantag- I will be in advantage. Either way. But that doesn't help me though.
32,0, [laughs] So the other like lately cuz I've been bartending a lot of like weddings and parties K You have? Yeah for like for for the kitchen? Oh yeah I've that's what I've been doing But it's funny cuz people come up to me and will have m- multiple bottles of wine and will be like And so I'd h- have to like smell it to see if I'm right and half the time I think seventy five percent of the time I'm right. Say when. Also most people don't know what to taste.
33,1, Oh yeah I'll ca- I'll cut it after this and then you guys can start building. Or Josh can do it. Yeah I'm not doin' I'm makin' coffee that's my job but I will do somethin' else. Oh Coffee? [laughs] Okay.
34,0, Please don't fall out. Okay. I will put And then we're having dinner tonight too? Oh god. Jeez [laughs] We're gonna be like stuffed.
35,0, The joke is gonna be great if he actually does get impeached Oh my gosh. [laughs] And then you're like You're fired. That will never die. Ever. Never.
36,1, Oh right here. I got two right there. [noise] That will work probably good. I'll just hold this until you're ready. Here we go.
37,0, Yeah That's why I was kinda saying that we might have to start some stuff early in ours cuz Dinner itself is probably gonna take an hour to make. Yeah Well these shouldn't take much longer. This one will take like two minutes. And then No. Yeah so maybe we'll end later like at uh two forty five or something like that.
38,0, Thank you. [laughs] [laughs] Sorry. [noise] [noise] Nice thing is tonight will be tempered. What do you mean? Cuz it's like multiple dishes.
39,0, Buzz some more water I should buzz some more. It's strong on purpose so that we dilute it. Oh [noise] [noise] [noise] But I will say if you guys plan to After this wrapped up move into other adventures having Someone like Her? Well th- the these organizations [inaudible 1:35:47.49] you guys are starting up On you to on your side will open doors Oh right.
40,0, say if you guys plan to After this wrapped up move into other adventures having Someone like Her? Well th- the these organizations [inaudible 1:35:47.49] you guys are starting up On you to on your side will open doors Oh right. In the future depending on who you align with and who you Yeah Who you snub and like Yeah still not sure about that one Yeah But I think I already put my he- foot halfway in the door [laughs] The thing is like [laughs] Oops [laughs] Yeah. There's They're shadowy they're shady but they are Interesting and they do have a lot of connections so They do I mean pretty awesome cape.
